año,comuna,valor_uf_m2_venta,arriendo_uf_m2,rentabilidad_bruta_pct,vacancia_estimada_pct,plusvalia_5a_pct,plusvalia_10a_pct,transacciones_aprox_anual,fuente_principal,fuente_secundaria,calidad_fuente,nota,fecha_actualizacion
2019,Santiago Centro,55.0,0.22,4.8,5.0,,,4200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Santiago Centro,56.5,0.21,4.5,8.0,,,3100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Santiago Centro,60.0,0.22,4.4,7.0,,,3600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Santiago Centro,63.0,0.24,4.6,6.0,,,3800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Santiago Centro,61.5,0.25,4.9,6.5,,,3500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Santiago Centro,59.0,0.26,5.3,7.0,8.5,15.0,3200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Ñuñoa,65.0,0.24,4.4,4.0,,,2100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Ñuñoa,67.0,0.23,4.1,5.0,,,1600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Ñuñoa,70.0,0.24,4.1,4.5,,,2000,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Ñuñoa,73.0,0.26,4.3,4.0,,,2100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Ñuñoa,71.5,0.27,4.5,4.5,,,1900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Ñuñoa,70.0,0.28,4.8,5.0,12.0,22.0,1800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Macul,42.0,0.19,5.4,5.5,,,800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Macul,43.0,0.18,5.0,7.0,,,600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Macul,46.0,0.19,4.9,6.0,,,750,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Macul,49.0,0.21,5.1,5.5,,,800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Macul,48.5,0.22,5.4,6.0,,,720,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Macul,47.0,0.23,5.8,6.5,11.0,18.0,680,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,La Florida,40.0,0.17,5.1,5.0,,,3100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,La Florida,41.0,0.17,4.9,6.0,,,2400,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,La Florida,44.5,0.18,4.8,5.5,,,2900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,La Florida,47.0,0.2,5.1,5.0,,,3000,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,La Florida,46.0,0.21,5.5,5.5,,,2700,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,La Florida,44.5,0.22,5.9,6.0,9.5,16.0,2500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Maipú,37.0,0.15,4.9,5.5,,,3800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Maipú,38.0,0.15,4.7,7.0,,,2900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Maipú,41.0,0.16,4.7,6.5,,,3400,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Maipú,43.5,0.18,5.0,6.0,,,3500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Maipú,42.5,0.19,5.4,6.5,,,3100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Maipú,41.5,0.2,5.8,7.0,7.0,13.0,2900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Independencia,48.0,0.2,5.0,6.0,,,900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Independencia,49.5,0.19,4.6,8.0,,,700,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Independencia,53.0,0.2,4.5,7.5,,,850,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Independencia,56.0,0.22,4.7,7.0,,,920,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Independencia,54.5,0.23,5.1,8.0,,,830,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Independencia,52.5,0.24,5.5,8.5,16.0,30.0,780,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,San Miguel,52.0,0.22,5.1,4.5,,,1100,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,San Miguel,53.5,0.21,4.7,6.0,,,850,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,San Miguel,57.0,0.22,4.6,5.5,,,1000,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,San Miguel,60.0,0.24,4.8,5.0,,,1050,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,San Miguel,58.5,0.25,5.1,5.5,,,950,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,San Miguel,57.0,0.26,5.5,6.0,13.5,24.0,900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Providencia,90.0,0.28,3.7,4.0,,,1800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Providencia,93.0,0.27,3.5,5.0,,,1400,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Providencia,99.0,0.28,3.4,4.5,,,1700,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Providencia,105.0,0.3,3.4,4.0,,,1750,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Providencia,112.0,0.31,3.3,4.5,,,1600,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Providencia,117.0,0.32,3.3,5.0,22.0,38.0,1500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2019,Puente Alto,32.0,0.14,5.2,6.0,,,4200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2020,Puente Alto,33.0,0.14,5.1,7.5,,,3200,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2021,Puente Alto,35.5,0.15,5.1,7.0,,,3800,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2022,Puente Alto,37.5,0.16,5.1,6.5,,,3900,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2023,Puente Alto,37.0,0.17,5.5,7.0,,,3500,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
2024,Puente Alto,36.0,0.18,6.0,7.5,6.0,11.0,3300,Portal Inmobiliario / TocToc,Tinsa Chile,B,UF/m2 promedio departamentos usados+nuevos ponderado. Arriendo UF/m2 promedio mercado libre. Rentabilidad bruta=arriendo_anual/precio_venta. Plusvalía 5a/10a solo disponible en año 2024 como referencia histórica acumulada. Vacancia estimada TocToc/Multifamily.,2025-06-01
